Operation,Duration,MapSelectivity,MapInputRec,MapOutputRec,Mappers,DataSize
spill_SC,2766,50,5242880,2621440,3,500,128
merge_SC,8,50,5242880,2621440,3,500,128
write_SC,397,50,5242880,2621440,3,500,128
shuffle_SC,1089,50,5242880,2621440,3,500,128
write_SC,452,50,5242880,2621440,3,500,128
shuffle_SC,1075,50,5242880,2621440,3,500,128
write_SC,417,50,5242880,2621440,3,500,128
shuffle_SC,1086,50,5242880,2621440,3,500,128
write_SC,424,50,5242880,2621440,3,500,128
shuffle_SC,1089,50,5242880,2621440,3,500,128
write_SC,358,50,5242880,2621440,3,500,128
shuffle_SC,3671,50,5242880,2621440,3,500,128
read_SC,1229,50,5242880,2621440,3,500,128
collect_SC,243,50,5242880,2621440,3,500,128
spill_SC,2518,50,5242880,2621440,3,500,128
merge_SC,8,50,5242880,2621440,3,500,128
read_SC,1398,50,5242880,2621440,3,500,128
collect_SC,268,50,5242880,2621440,3,500,128
spill_SC,2642,50,5242880,2621440,3,500,128
merge_SC,9,50,5242880,2621440,3,500,128
read_SC,1461,50,5242880,2621440,3,500,128
collect_SC,260,50,5242880,2621440,3,500,128
spill_SC,2518,50,5242880,2621440,3,500,128
merge_SC,8,50,5242880,2621440,3,500,128
write_SC,358,50,5242880,2621440,3,500,128
shuffle_SC,1329,50,5242880,2621440,3,500,128
write_SC,401,50,5242880,2621440,3,500,128
shuffle_SC,1070,50,5242880,2621440,3,500,128
write_SC,432,50,5242880,2621440,3,500,128
shuffle_SC,1074,50,5242880,2621440,3,500,128
read_SC,1453,60,5242880,3145728,3,500,128
collect_SC,337,60,5242880,3145728,3,500,128
spill_SC,3286,60,5242880,3145728,3,500,128
merge_SC,1842,60,5242880,3145728,3,500,128
read_SC,1437,60,5242880,3145728,3,500,128
collect_SC,313,60,5242880,3145728,3,500,128
spill_SC,3314,60,5242880,3145728,3,500,128
merge_SC,1835,60,5242880,3145728,3,500,128
read_SC,1263,60,5242880,3145728,3,500,128
collect_SC,338,60,5242880,3145728,3,500,128
spill_SC,3209,60,5242880,3145728,3,500,128
merge_SC,1814,60,5242880,3145728,3,500,128
read_SC,1391,60,5242880,3145728,3,500,128
collect_SC,347,60,5242880,3145728,3,500,128
spill_SC,3338,60,5242880,3145728,3,500,128
merge_SC,1870,60,5242880,3145728,3,500,128
write_SC,389,60,5242880,3145728,3,500,128
shuffle_SC,1091,60,5242880,3145728,3,500,128
write_SC,382,60,5242880,3145728,3,500,128
shuffle_SC,5772,60,5242880,3145728,3,500,128
write_SC,467,60,5242880,3145728,3,500,128
shuffle_SC,1219,60,5242880,3145728,3,500,128
write_SC,442,60,5242880,3145728,3,500,128
shuffle_SC,1219,60,5242880,3145728,3,500,128
write_SC,515,60,5242880,3145728,3,500,128
shuffle_SC,1199,60,5242880,3145728,3,500,128
write_SC,496,60,5242880,3145728,3,500,128
shuffle_SC,1218,60,5242880,3145728,3,500,128
write_SC,446,60,5242880,3145728,3,500,128
shuffle_SC,1146,60,5242880,3145728,3,500,128
write_SC,453,60,5242880,3145728,3,500,128
shuffle_SC,1182,60,5242880,3145728,3,500,128
read_SC,1228,70,5242880,3670016,3,500,128
collect_SC,561,70,5242880,3670016,3,500,128
spill_SC,3789,70,5242880,3670016,3,500,128
merge_SC,2105,70,5242880,3670016,3,500,128
write_SC,2056,70,5242880,3670016,3,500,128
shuffle_SC,6896,70,5242880,3670016,3,500,128
write_SC,522,70,5242880,3670016,3,500,128
shuffle_SC,1305,70,5242880,3670016,3,500,128
write_SC,533,70,5242880,3670016,3,500,128
shuffle_SC,1322,70,5242880,3670016,3,500,128
read_SC,1476,70,5242880,3670016,3,500,128
collect_SC,604,70,5242880,3670016,3,500,128
spill_SC,3875,70,5242880,3670016,3,500,128
merge_SC,2156,70,5242880,3670016,3,500,128
read_SC,1400,70,5242880,3670016,3,500,128
collect_SC,554,70,5242880,3670016,3,500,128
spill_SC,3752,70,5242880,3670016,3,500,128
merge_SC,2126,70,5242880,3670016,3,500,128
read_SC,1327,70,5242880,3670016,3,500,128
collect_SC,467,70,5242880,3670016,3,500,128
spill_SC,3855,70,5242880,3670016,3,500,128
merge_SC,2102,70,5242880,3670016,3,500,128
write_SC,505,70,5242880,3670016,3,500,128
shuffle_SC,1267,70,5242880,3670016,3,500,128
write_SC,586,70,5242880,3670016,3,500,128
shuffle_SC,1299,70,5242880,3670016,3,500,128
write_SC,536,70,5242880,3670016,3,500,128
shuffle_SC,1294,70,5242880,3670016,3,500,128
write_SC,566,70,5242880,3670016,3,500,128
shuffle_SC,1294,70,5242880,3670016,3,500,128
write_SC,557,70,5242880,3670016,3,500,128
shuffle_SC,1284,70,5242880,3670016,3,500,128
write_SC,525,80,5242880,4194304,3,500,128
shuffle_SC,1417,80,5242880,4194304,3,500,128
write_SC,568,80,5242880,4194304,3,500,128
shuffle_SC,9001,80,5242880,4194304,3,500,128
read_SC,1268,80,5242880,4194304,3,500,128
collect_SC,3500,80,5242880,4194304,3,500,128
spill_SC,4534,80,5242880,4194304,3,500,128
merge_SC,2376,80,5242880,4194304,3,500,128
read_SC,1283,80,5242880,4194304,3,500,128
collect_SC,3362,80,5242880,4194304,3,500,128
spill_SC,4320,80,5242880,4194304,3,500,128
merge_SC,2411,80,5242880,4194304,3,500,128
read_SC,1433,80,5242880,4194304,3,500,128
collect_SC,3164,80,5242880,4194304,3,500,128
spill_SC,4205,80,5242880,4194304,3,500,128
merge_SC,2407,80,5242880,4194304,3,500,128
read_SC,1329,80,5242880,4194304,3,500,128
collect_SC,3200,80,5242880,4194304,3,500,128
spill_SC,4224,80,5242880,4194304,3,500,128
merge_SC,2399,80,5242880,4194304,3,500,128
write_SC,688,80,5242880,4194304,3,500,128
shuffle_SC,1416,80,5242880,4194304,3,500,128
write_SC,588,80,5242880,4194304,3,500,128
shuffle_SC,3969,80,5242880,4194304,3,500,128
write_SC,4920,80,5242880,4194304,3,500,128
shuffle_SC,1423,80,5242880,4194304,3,500,128
write_SC,563,80,5242880,4194304,3,500,128
shuffle_SC,1438,80,5242880,4194304,3,500,128
write_SC,494,80,5242880,4194304,3,500,128
shuffle_SC,1430,80,5242880,4194304,3,500,128
write_SC,539,80,5242880,4194304,3,500,128
shuffle_SC,1443,80,5242880,4194304,3,500,128
write_SC,625,90,5242880,4718592,3,500,128
shuffle_SC,1572,90,5242880,4718592,3,500,128
