Operation,Duration,MapSelectivity,MapInputRec,MapOutputRec,Mappers,DataSize,BlockSize
read_SC,1137,80,5242880,4194304,3,500,128
collect_SC,1674,80,5242880,4194304,3,500,128
spill_SC,2165,80,5242880,4194304,3,500,128
merge_SC,1857,80,5242880,4194304,3,500,128
write_SC,3708,80,5242880,4194304,3,500,128
shuffle_SC,5899,80,5242880,4194304,3,500,128
read_SC,982,80,5242880,4194304,3,500,128
collect_SC,1613,80,5242880,4194304,3,500,128
spill_SC,2088,80,5242880,4194304,3,500,128
merge_SC,1357,80,5242880,4194304,3,500,128
read_SC,1029,80,5242880,4194304,3,500,128
collect_SC,1551,80,5242880,4194304,3,500,128
spill_SC,2080,80,5242880,4194304,3,500,128
merge_SC,1505,80,5242880,4194304,3,500,128
read_SC,1238,90,5242880,4718592,3,500,128
collect_SC,1842,90,5242880,4718592,3,500,128
spill_SC,2978,90,5242880,4718592,3,500,128
merge_SC,1724,90,5242880,4718592,3,500,128
write_SC,5969,90,5242880,4718592,3,500,128
shuffle_SC,7335,90,5242880,4718592,3,500,128
read_SC,1265,90,5242880,4718592,3,500,128
collect_SC,1859,90,5242880,4718592,3,500,128
spill_SC,2931,90,5242880,4718592,3,500,128
merge_SC,1689,90,5242880,4718592,3,500,128
read_SC,1142,90,5242880,4718592,3,500,128
collect_SC,1724,90,5242880,4718592,3,500,128
spill_SC,2448,90,5242880,4718592,3,500,128
merge_SC,1729,90,5242880,4718592,3,500,128
read_SC,1134,90,5242880,4718592,3,500,128
collect_SC,1705,90,5242880,4718592,3,500,128
spill_SC,2471,90,5242880,4718592,3,500,128
merge_SC,1806,90,5242880,4718592,3,500,128
read_SC,1238,100,5242880,5242880,3,500,128
collect_SC,1783,100,5242880,5242880,3,500,128
spill_SC,2591,100,5242880,5242880,3,500,128
merge_SC,1827,100,5242880,5242880,3,500,128
read_SC,1212,100,5242880,5242880,3,500,128
collect_SC,1688,100,5242880,5242880,3,500,128
spill_SC,2671,100,5242880,5242880,3,500,128
merge_SC,1928,100,5242880,5242880,3,500,128
read_SC,1182,100,5242880,5242880,3,500,128
collect_SC,1758,100,5242880,5242880,3,500,128
spill_SC,2693,100,5242880,5242880,3,500,128
merge_SC,1915,100,5242880,5242880,3,500,128
read_SC,1050,100,5242880,5242880,3,500,128
collect_SC,1616,100,5242880,5242880,3,500,128
spill_SC,2352,100,5242880,5242880,3,500,128
merge_SC,1565,100,5242880,5242880,3,500,128
write_SC,5790,100,5242880,5242880,3,500,128
shuffle_SC,7596,100,5242880,5242880,3,500,128
read_SC,1059,10,7864320,786432,5,750,128
collect_SC,72,10,7864320,786432,5,750,128
spill_SC,443,10,7864320,786432,5,750,128
merge_SC,9,10,7864320,786432,5,750,128
read_SC,1266,10,7864320,786432,5,750,128
collect_SC,60,10,7864320,786432,5,750,128
spill_SC,385,10,7864320,786432,5,750,128
merge_SC,8,10,7864320,786432,5,750,128
read_SC,1045,10,7864320,786432,5,750,128
collect_SC,76,10,7864320,786432,5,750,128
spill_SC,417,10,7864320,786432,5,750,128
merge_SC,11,10,7864320,786432,5,750,128
read_SC,977,10,7864320,786432,5,750,128
collect_SC,57,10,7864320,786432,5,750,128
spill_SC,639,10,7864320,786432,5,750,128
merge_SC,9,10,7864320,786432,5,750,128
write_SC,1260,10,7864320,786432,5,750,128
shuffle_SC,2079,10,7864320,786432,5,750,128
read_SC,948,10,7864320,786432,5,750,128
collect_SC,68,10,7864320,786432,5,750,128
spill_SC,547,10,7864320,786432,5,750,128
merge_SC,8,10,7864320,786432,5,750,128
read_SC,1069,10,7864320,786432,5,750,128
collect_SC,66,10,7864320,786432,5,750,128
spill_SC,479,10,7864320,786432,5,750,128
merge_SC,8,10,7864320,786432,5,750,128
write_SC,1391,20,7864320,1572864,5,750,128
shuffle_SC,2601,20,7864320,1572864,5,750,128
read_SC,1101,20,7864320,1572864,5,750,128
collect_SC,103,20,7864320,1572864,5,750,128
spill_SC,671,20,7864320,1572864,5,750,128
merge_SC,12,20,7864320,1572864,5,750,128
read_SC,1378,20,7864320,1572864,5,750,128
collect_SC,116,20,7864320,1572864,5,750,128
spill_SC,651,20,7864320,1572864,5,750,128
merge_SC,9,20,7864320,1572864,5,750,128
read_SC,1139,20,7864320,1572864,5,750,128
collect_SC,101,20,7864320,1572864,5,750,128
spill_SC,685,20,7864320,1572864,5,750,128
merge_SC,10,20,7864320,1572864,5,750,128
read_SC,1035,20,7864320,1572864,5,750,128
collect_SC,101,20,7864320,1572864,5,750,128
spill_SC,742,20,7864320,1572864,5,750,128
merge_SC,16,20,7864320,1572864,5,750,128
read_SC,1040,20,7864320,1572864,5,750,128
collect_SC,108,20,7864320,1572864,5,750,128
spill_SC,662,20,7864320,1572864,5,750,128
merge_SC,8,20,7864320,1572864,5,750,128
read_SC,1163,20,7864320,1572864,5,750,128
collect_SC,103,20,7864320,1572864,5,750,128
spill_SC,626,20,7864320,1572864,5,750,128
merge_SC,14,20,7864320,1572864,5,750,128
read_SC,1235,30,7864320,2359296,5,750,128
collect_SC,132,30,7864320,2359296,5,750,128
spill_SC,839,30,7864320,2359296,5,750,128
merge_SC,8,30,7864320,2359296,5,750,128
write_SC,3743,30,7864320,2359296,5,750,128
shuffle_SC,3762,30,7864320,2359296,5,750,128
read_SC,1076,30,7864320,2359296,5,750,128
collect_SC,137,30,7864320,2359296,5,750,128
spill_SC,869,30,7864320,2359296,5,750,128
merge_SC,8,30,7864320,2359296,5,750,128
read_SC,1032,30,7864320,2359296,5,750,128
collect_SC,135,30,7864320,2359296,5,750,128
spill_SC,788,30,7864320,2359296,5,750,128
merge_SC,8,30,7864320,2359296,5,750,128
read_SC,1044,30,7864320,2359296,5,750,128
collect_SC,121,30,7864320,2359296,5,750,128
spill_SC,790,30,7864320,2359296,5,750,128
merge_SC,8,30,7864320,2359296,5,750,128
read_SC,1231,30,7864320,2359296,5,750,128
collect_SC,147,30,7864320,2359296,5,750,128
spill_SC,836,30,7864320,2359296,5,750,128
merge_SC,8,30,7864320,2359296,5,750,128
read_SC,1190,30,7864320,2359296,5,750,128
collect_SC,138,30,7864320,2359296,5,750,128
spill_SC,875,30,7864320,2359296,5,750,128
merge_SC,11,30,7864320,2359296,5,750,128
read_SC,1182,40,7864320,3145728,5,750,128
collect_SC,209,40,7864320,3145728,5,750,128
spill_SC,1139,40,7864320,3145728,5,750,128
merge_SC,9,40,7864320,3145728,5,750,128
read_SC,1322,40,7864320,3145728,5,750,128
collect_SC,194,40,7864320,3145728,5,750,128
spill_SC,1160,40,7864320,3145728,5,750,128
merge_SC,14,40,7864320,3145728,5,750,128
read_SC,972,40,7864320,3145728,5,750,128
collect_SC,150,40,7864320,3145728,5,750,128
spill_SC,1028,40,7864320,3145728,5,750,128
merge_SC,7,40,7864320,3145728,5,750,128
read_SC,973,40,7864320,3145728,5,750,128
collect_SC,173,40,7864320,3145728,5,750,128
spill_SC,1093,40,7864320,3145728,5,750,128
merge_SC,8,40,7864320,3145728,5,750,128
read_SC,1921,40,7864320,3145728,5,750,128
collect_SC,223,40,7864320,3145728,5,750,128
spill_SC,1056,40,7864320,3145728,5,750,128
merge_SC,9,40,7864320,3145728,5,750,128
write_SC,3547,40,7864320,3145728,5,750,128
shuffle_SC,6256,40,7864320,3145728,5,750,128
read_SC,1158,40,7864320,3145728,5,750,128
collect_SC,183,40,7864320,3145728,5,750,128
spill_SC,1073,40,7864320,3145728,5,750,128
merge_SC,8,40,7864320,3145728,5,750,128
read_SC,1073,50,7864320,3932160,5,750,128
collect_SC,249,50,7864320,3932160,5,750,128
spill_SC,1330,50,7864320,3932160,5,750,128
merge_SC,11,50,7864320,3932160,5,750,128
read_SC,1408,50,7864320,3932160,5,750,128
collect_SC,262,50,7864320,3932160,5,750,128
spill_SC,1497,50,7864320,3932160,5,750,128
merge_SC,10,50,7864320,3932160,5,750,128
write_SC,6572,50,7864320,3932160,5,750,128
shuffle_SC,5349,50,7864320,3932160,5,750,128
read_SC,1063,50,7864320,3932160,5,750,128
collect_SC,230,50,7864320,3932160,5,750,128
spill_SC,1407,50,7864320,3932160,5,750,128
merge_SC,8,50,7864320,3932160,5,750,128
read_SC,996,50,7864320,3932160,5,750,128
collect_SC,167,50,7864320,3932160,5,750,128
spill_SC,1228,50,7864320,3932160,5,750,128
merge_SC,9,50,7864320,3932160,5,750,128
read_SC,988,50,7864320,3932160,5,750,128
collect_SC,192,50,7864320,3932160,5,750,128
spill_SC,1215,50,7864320,3932160,5,750,128
merge_SC,12,50,7864320,3932160,5,750,128
read_SC,1127,50,7864320,3932160,5,750,128
collect_SC,176,50,7864320,3932160,5,750,128
spill_SC,1288,50,7864320,3932160,5,750,128
merge_SC,10,50,7864320,3932160,5,750,128
read_SC,1174,60,7864320,4718592,5,750,128
collect_SC,272,60,7864320,4718592,5,750,128
spill_SC,1769,60,7864320,4718592,5,750,128
merge_SC,1116,60,7864320,4718592,5,750,128
read_SC,1355,60,7864320,4718592,5,750,128
collect_SC,250,60,7864320,4718592,5,750,128
spill_SC,1903,60,7864320,4718592,5,750,128
merge_SC,1221,60,7864320,4718592,5,750,128
read_SC,1203,60,7864320,4718592,5,750,128
collect_SC,292,60,7864320,4718592,5,750,128
spill_SC,1729,60,7864320,4718592,5,750,128
merge_SC,1229,60,7864320,4718592,5,750,128
read_SC,970,60,7864320,4718592,5,750,128
collect_SC,250,60,7864320,4718592,5,750,128
spill_SC,1555,60,7864320,4718592,5,750,128
merge_SC,1071,60,7864320,4718592,5,750,128
write_SC,4015,60,7864320,4718592,5,750,128
shuffle_SC,9044,60,7864320,4718592,5,750,128
read_SC,1118,60,7864320,4718592,5,750,128
collect_SC,268,60,7864320,4718592,5,750,128
spill_SC,1620,60,7864320,4718592,5,750,128
merge_SC,1166,60,7864320,4718592,5,750,128
read_SC,1126,60,7864320,4718592,5,750,128
collect_SC,243,60,7864320,4718592,5,750,128
spill_SC,1592,60,7864320,4718592,5,750,128
merge_SC,1145,60,7864320,4718592,5,750,128
read_SC,1119,70,7864320,5505024,5,750,128
collect_SC,378,70,7864320,5505024,5,750,128
spill_SC,2051,70,7864320,5505024,5,750,128
merge_SC,1304,70,7864320,5505024,5,750,128
read_SC,1379,70,7864320,5505024,5,750,128
collect_SC,451,70,7864320,5505024,5,750,128
spill_SC,1987,70,7864320,5505024,5,750,128
merge_SC,1368,70,7864320,5505024,5,750,128
read_SC,1152,70,7864320,5505024,5,750,128
collect_SC,367,70,7864320,5505024,5,750,128
spill_SC,2095,70,7864320,5505024,5,750,128
merge_SC,1395,70,7864320,5505024,5,750,128
read_SC,1069,70,7864320,5505024,5,750,128
collect_SC,586,70,7864320,5505024,5,750,128
spill_SC,1934,70,7864320,5505024,5,750,128
merge_SC,1237,70,7864320,5505024,5,750,128
write_SC,4895,70,7864320,5505024,5,750,128
shuffle_SC,7652,70,7864320,5505024,5,750,128
read_SC,1123,70,7864320,5505024,5,750,128
collect_SC,406,70,7864320,5505024,5,750,128
spill_SC,1894,70,7864320,5505024,5,750,128
merge_SC,1208,70,7864320,5505024,5,750,128
read_SC,1144,70,7864320,5505024,5,750,128
collect_SC,522,70,7864320,5505024,5,750,128
spill_SC,1945,70,7864320,5505024,5,750,128
merge_SC,1344,70,7864320,5505024,5,750,128
write_SC,8146,80,7864320,6291456,5,750,128
shuffle_SC,8917,80,7864320,6291456,5,750,128
read_SC,1143,80,7864320,6291456,5,750,128
collect_SC,1695,80,7864320,6291456,5,750,128
spill_SC,2239,80,7864320,6291456,5,750,128
merge_SC,1627,80,7864320,6291456,5,750,128
read_SC,1292,80,7864320,6291456,5,750,128
collect_SC,1691,80,7864320,6291456,5,750,128
spill_SC,2234,80,7864320,6291456,5,750,128
merge_SC,1623,80,7864320,6291456,5,750,128
read_SC,1170,80,7864320,6291456,5,750,128
collect_SC,1727,80,7864320,6291456,5,750,128
spill_SC,2289,80,7864320,6291456,5,750,128
merge_SC,1576,80,7864320,6291456,5,750,128
read_SC,935,80,7864320,6291456,5,750,128
collect_SC,1571,80,7864320,6291456,5,750,128
spill_SC,2028,80,7864320,6291456,5,750,128
merge_SC,1354,80,7864320,6291456,5,750,128
read_SC,1111,80,7864320,6291456,5,750,128
collect_SC,1565,80,7864320,6291456,5,750,128
spill_SC,2075,80,7864320,6291456,5,750,128
merge_SC,1445,80,7864320,6291456,5,750,128
read_SC,1180,80,7864320,6291456,5,750,128
collect_SC,1983,80,7864320,6291456,5,750,128
spill_SC,2492,80,7864320,6291456,5,750,128
merge_SC,1523,80,7864320,6291456,5,750,128
read_SC,1121,90,7864320,7077888,5,750,128
collect_SC,1683,90,7864320,7077888,5,750,128
spill_SC,2377,90,7864320,7077888,5,750,128
merge_SC,1653,90,7864320,7077888,5,750,128
read_SC,1368,90,7864320,7077888,5,750,128
collect_SC,1827,90,7864320,7077888,5,750,128
spill_SC,2522,90,7864320,7077888,5,750,128
merge_SC,1771,90,7864320,7077888,5,750,128
read_SC,979,90,7864320,7077888,5,750,128
collect_SC,1559,90,7864320,7077888,5,750,128
spill_SC,2230,90,7864320,7077888,5,750,128
merge_SC,1545,90,7864320,7077888,5,750,128
read_SC,1068,90,7864320,7077888,5,750,128
collect_SC,1595,90,7864320,7077888,5,750,128
spill_SC,2227,90,7864320,7077888,5,750,128
merge_SC,1547,90,7864320,7077888,5,750,128
read_SC,1461,90,7864320,7077888,5,750,128
collect_SC,1973,90,7864320,7077888,5,750,128
spill_SC,2697,90,7864320,7077888,5,750,128
merge_SC,1765,90,7864320,7077888,5,750,128
write_SC,6246,90,7864320,7077888,5,750,128
shuffle_SC,13130,90,7864320,7077888,5,750,128
read_SC,1135,90,7864320,7077888,5,750,128
collect_SC,1662,90,7864320,7077888,5,750,128
spill_SC,2318,90,7864320,7077888,5,750,128
merge_SC,1642,90,7864320,7077888,5,750,128
read_SC,1152,100,7864320,7864320,5,750,128
collect_SC,1757,100,7864320,7864320,5,750,128
spill_SC,2531,100,7864320,7864320,5,750,128
merge_SC,1739,100,7864320,7864320,5,750,128
read_SC,1316,100,7864320,7864320,5,750,128
collect_SC,1829,100,7864320,7864320,5,750,128
spill_SC,2848,100,7864320,7864320,5,750,128
merge_SC,1871,100,7864320,7864320,5,750,128
read_SC,1094,100,7864320,7864320,5,750,128
collect_SC,1871,100,7864320,7864320,5,750,128
spill_SC,2631,100,7864320,7864320,5,750,128
merge_SC,1757,100,7864320,7864320,5,750,128
write_SC,8098,100,7864320,7864320,5,750,128
shuffle_SC,12421,100,7864320,7864320,5,750,128
read_SC,983,100,7864320,7864320,5,750,128
collect_SC,1752,100,7864320,7864320,5,750,128
spill_SC,2616,100,7864320,7864320,5,750,128
merge_SC,1682,100,7864320,7864320,5,750,128
read_SC,1821,100,7864320,7864320,5,750,128
collect_SC,1891,100,7864320,7864320,5,750,128
spill_SC,2711,100,7864320,7864320,5,750,128
merge_SC,1843,100,7864320,7864320,5,750,128
read_SC,1119,100,7864320,7864320,5,750,128
collect_SC,1638,100,7864320,7864320,5,750,128
spill_SC,2556,100,7864320,7864320,5,750,128
merge_SC,1812,100,7864320,7864320,5,750,128
read_SC,1215,10,10737418,1073741,8,1024,128
collect_SC,75,10,10737418,1073741,8,1024,128
spill_SC,430,10,10737418,1073741,8,1024,128
merge_SC,11,10,10737418,1073741,8,1024,128
read_SC,1111,10,10737418,1073741,8,1024,128
